Level,Reward
1,
2,Summon Ticket x1 + (Common) Armor Material x5 + Crystals x70
3,Summon Ticket x1 + (Common) Accessory Material x5 + Crystals x70
4,Summon Ticket x1 + (Common) Weapon Material x5 + Crystals x70
5,Summon Ticket x1 + (Common) Armor Material x5 + Crystals x70
6,Summon Ticket x1 + (Common) Accessory Material x5 + Crystals x70
7,Summon Ticket x1 + (Common) Weapon Material x5 + Crystals x70
8,Summon Ticket x1 + (Common) Armor Material x5 + Crystals x70
9,Summon Ticket x1 + (Common) Accessory Material x5 + Crystals x70
10,Summon Ticket x10
11,Summon Ticket x2 + (Common) Armor Material x5 + (Rare) Armor Material x5 + Crystals x120
12,Summon Ticket x2 + (Common) Accessory Material x5 + (Rare) Accessory Material x5 + Crystals x120
13,Summon Ticket x2 + (Common) Weapon Material x5 + (Rare) Weapon Material x5 + Crystals x120
14,Summon Ticket x2 + (Common) Armor Material x5 + (Rare) Armor Material x5 + Crystals x120
15,Summon Ticket x2 + (Common) Accessory Material x5 + (Rare) Accessory Material x5 + Crystals x120
16,Summon Ticket x2 + (Common) Weapon Material x5 + (Rare) Weapon Material x5 + Crystals x120
17,Summon Ticket x2 + (Common) Armor Material x5 + (Rare) Armor Material x5 + Crystals x120
18,Summon Ticket x2 + (Common) Accessory Material x5 + (Rare) Accessory Material x5 + Crystals x120
19,Summon Ticket x2 + (Common) Weapon Material x5 + (Rare) Weapon Material x5 + Crystals x120
20,(Epic) Summon Ticket x1
21,Summon Ticket x3 + (Rare) Armor Material x5 + (Epic) Armor Material x5 + Crystals x160
22,Summon Ticket x3 + (Rare) Accessory Material x5 + (Epic) Accessory Material x5 + Crystals x160
23,Summon Ticket x3 + (Rare) Weapon Material x5 + (Epic) Weapon Material x5 + Crystals x160
24,Summon Ticket x3 + (Rare) Armor Material x5 + (Epic) Armor Material x5 + Crystals x160
25,Summon Ticket x3 + (Rare) Accessory Material x5 + (Epic) Accessory Material x5 + Crystals x160
26,Summon Ticket x3 + (Rare) Weapon Material x5 + (Epic) Weapon Material x5 + Crystals x160
27,Summon Ticket x3 + (Rare) Armor Material x5 + (Epic) Armor Material x5 + Crystals x160
28,Summon Ticket x3 + (Rare) Accessory Material x5 + (Epic) Accessory Material x5 + Crystals x160
29,Summon Ticket x3 + (Rare) Weapon Material x5 + (Epic) Weapon Material x5 + Crystals x160
30,(Rare) Armor Set x1 + (Rare) Weapon x1
31,Summon Ticket x4 + (Epic) Armor Material x10 + Crystals x200
32,Summon Ticket x4 + (Epic) Accessory Material x10 + Crystals x200
33,Summon Ticket x4 + (Epic) Weapon Material x10 + Crystals x200
34,Summon Ticket x4 + (Epic) Armor Material x10 + Crystals x200
35,Summon Ticket x4 + (Epic) Accessory Material x10 + Crystals x200
36,Summon Ticket x4 + (Epic) Weapon Material x10 + Crystals x200
37,Summon Ticket x4 + (Epic) Armor Material x10 + Crystals x200
38,Summon Ticket x4 + (Epic) Accessory Material x10 + Crystals x200
39,Summon Ticket x4 + (Epic) Weapon Material x10 + Crystals x200
40,(Epic) Armor Set x1 + (Epic) Weapon x1
41,Summon Ticket x5 + Crystals x300
42,Summon Ticket x5 + Crystals x300
43,Summon Ticket x5 + Crystals x300
44,Summon Ticket x5 + Crystals x300
45, Summon Ticket x30 + (Legendary) Weapon Material x50 + Crystals x500
46,(Legendary) Armor Material x50 + Crystals x500
47,(Legendary) Accessory Material x50 + Crystals x500
48,(Legendary) Armor x1
49,(Legendary) Accessory x1
50,(Legendary) Weapon x1 + (Legendary) Summon Ticket x1
